n, rho12, rho13, rho14 rho23, rho24, rho34
4 0.409594 0.294937 0.656230 0.470624 0.519163 0.294822
5 0.340554 0.254547 0.574252 0.471648 0.479668 0.259528
7 0.232729 0.198056 0.455130 0.493888 0.430719 0.218084
9 0.190547 0.187191 0.407786 0.544649 0.419537 0.216198
11 0.185615 0.199671 0.396301 0.601484 0.422264 0.229984
13 0.202968 0.224611 0.405002 0.652578 0.432050 0.250272
16 0.251980 0.273407 0.439610 0.712362 0.454438 0.285015
20 0.330915 0.342002 0.500275 0.766335 0.488621 0.328967
23 0.389894 0.390333 0.547915 0.794370 0.513984 0.358481
28 0.474450 0.457887 0.619293 0.827803 0.551145 0.399665
33 0.535785 0.506200 0.671902 0.851351 0.579525 0.430602
38 0.580709 0.540815 0.712004 0.868616 0.600713 0.454089
45 0.626398 0.574955 0.756128 0.885551 0.621881 0.478488
52 0.656527 0.597005 0.786901 0.896723 0.635984 0.495450
60 0.678930 0.613138 0.811236 0.904965 0.646985 0.509104
69 0.695163 0.624499 0.830259 0.910717 0.656092 0.520481
79 0.706782 0.632296 0.845201 0.914480 0.664454 0.530743
91 0.716004 0.638023 0.858138 0.916676 0.673856 0.541584
104 0.723069 0.641761 0.868433 0.917155 0.684200 0.552438
119 0.729309 0.644194 0.877338 0.916117 0.696472 0.564052
135 0.734782 0.645601 0.884503 0.913810 0.709754 0.575573
154 0.740422 0.646795 0.890822 0.910072 0.725281 0.588434
174 0.745771 0.648369 0.895651 0.905463 0.740680 0.601288
198 0.751608 0.651273 0.899740 0.899497 0.757245 0.615931
223 0.757252 0.655828 0.902654 0.893157 0.772209 0.630357
252 0.763485 0.663130 0.904916 0.886159 0.786960 0.646308
285 0.769862 0.672496 0.906475 0.878804 0.800674 0.662825
321 0.775801 0.682564 0.907247 0.871565 0.812814 0.678755
362 0.781368 0.693056 0.907277 0.864258 0.824213 0.694579
407 0.786086 0.702722 0.906618 0.857170 0.834389 0.709046
457 0.789918 0.711135 0.905283 0.850045 0.843424 0.721828
513 0.793434 0.718593 0.903370 0.842606 0.851847 0.733242
575 0.796458 0.724694 0.900898 0.834982 0.859574 0.743157
645 0.798680 0.729373 0.897821 0.827263 0.866618 0.752009
723 0.799883 0.732384 0.894202 0.819650 0.872731 0.759669
809 0.800136 0.733495 0.890229 0.812296 0.877795 0.765950
905 0.800121 0.733248 0.886312 0.805553 0.882192 0.771451
1011 0.800976 0.732862 0.883329 0.800413 0.886211 0.777088
1130 0.804199 0.734187 0.882284 0.797862 0.890088 0.784162
1261 0.810919 0.738637 0.884045 0.798760 0.894427 0.793450
1407 0.821786 0.746731 0.889092 0.804285 0.899647 0.805185
1570 0.836386 0.758782 0.896893 0.814285 0.905442 0.818656
1750 0.852011 0.774356 0.905923 0.827536 0.911153 0.832925
1950 0.866631 0.793148 0.914866 0.842927 0.916549 0.847144
