n col_12 col_13 col_14 col_23 col_24 col_34
4 0.676221 0.583217 0.361021 0.411234 0.395102 0.640395
5 0.678926 0.583628 0.363848 0.417903 0.399911 0.667726
7 0.687293 0.589971 0.379787 0.437261 0.415766 0.716255
9 0.698605 0.600718 0.400488 0.459969 0.435449 0.754259
11 0.711660 0.613667 0.421933 0.483509 0.455562 0.782744
13 0.724469 0.627134 0.442271 0.506392 0.474389 0.803930
16 0.741694 0.646539 0.470193 0.537964 0.499785 0.826775
20 0.760925 0.669001 0.501448 0.572859 0.527199 0.846875
23 0.772421 0.682321 0.519847 0.592776 0.542394 0.857022
28 0.786824 0.698618 0.542736 0.616134 0.559607 0.868076
33 0.796914 0.709764 0.558612 0.631213 0.570224 0.874400
38 0.803742 0.717084 0.569114 0.640861 0.576501 0.877671
45 0.809146 0.722356 0.576954 0.648078 0.580049 0.878978
52 0.811309 0.723723 0.579427 0.650761 0.579674 0.878024
60 0.811738 0.722717 0.578702 0.651198 0.577004 0.875573
69 0.811201 0.720444 0.576178 0.650890 0.573594 0.871963
79 0.810409 0.718263 0.573641 0.651685 0.571508 0.867811
91 0.809578 0.716587 0.571764 0.654127 0.571266 0.863436
104 0.808442 0.715409 0.570659 0.657272 0.572410 0.859301
119 0.806285 0.714482 0.570325 0.660558 0.574416 0.854856
135 0.802892 0.713577 0.570769 0.663257 0.576557 0.850238
154 0.797821 0.712341 0.571784 0.665715 0.578723 0.844808
174 0.791823 0.710594 0.572597 0.667632 0.580182 0.839067
198 0.784207 0.707711 0.572550 0.669162 0.580830 0.831984
223 0.775784 0.703892 0.571168 0.670020 0.580790 0.824249
252 0.765536 0.698479 0.568223 0.670141 0.580872 0.814982
285 0.753737 0.691297 0.564082 0.669427 0.582170 0.804381
321 0.741102 0.682690 0.559580 0.667894 0.585047 0.793250
362 0.727168 0.672181 0.554689 0.665455 0.589597 0.781629
407 0.712049 0.659711 0.548555 0.661966 0.595136 0.770354
457 0.694934 0.644668 0.539731 0.656634 0.600444 0.759349
513 0.675342 0.627066 0.527861 0.648879 0.604778 0.748458
575 0.654520 0.609050 0.514456 0.640007 0.608878 0.738109
645 0.633505 0.592473 0.500311 0.631420 0.613915 0.728461
723 0.612399 0.577436 0.483797 0.622217 0.618344 0.719029
809 0.590644 0.562173 0.461887 0.610026 0.618948 0.708669
905 0.568568 0.546915 0.433318 0.594213 0.614302 0.696524
1011 0.548810 0.535349 0.401715 0.575715 0.605449 0.683060
1130 0.534521 0.529038 0.370666 0.555978 0.593901 0.668436
1261 0.528297 0.528548 0.343800 0.538991 0.581300 0.652602
1407 0.529140 0.533422 0.321194 0.525532 0.566617 0.634589
1570 0.534019 0.542303 0.300816 0.514272 0.547352 0.610977
1750 0.543050 0.554098 0.281349 0.505414 0.520856 0.579919
1950 0.556538 0.568259 0.262458 0.502182 0.487637 0.543425
