n, rho12, rho13, rho14 rho23, rho24, rho34
4 0.508535 0.484812 0.736859 0.751258 0.633815 0.444795
5 0.515966 0.484299 0.736962 0.774197 0.633556 0.442691
7 0.538840 0.495640 0.743454 0.815389 0.642122 0.454957
9 0.566301 0.516324 0.755737 0.845665 0.656624 0.476887
11 0.593915 0.540433 0.770375 0.867080 0.672771 0.501369
13 0.620311 0.565206 0.785240 0.882789 0.689367 0.526153
16 0.656301 0.600450 0.806070 0.899756 0.713515 0.561651
20 0.695846 0.640206 0.829692 0.914912 0.741592 0.602265
23 0.718717 0.663615 0.843883 0.922877 0.758454 0.626717
28 0.746277 0.692407 0.861470 0.932236 0.779601 0.657920
33 0.765011 0.712425 0.873608 0.938509 0.794681 0.680655
38 0.778096 0.726635 0.882229 0.942835 0.805543 0.697390
45 0.790104 0.740095 0.890299 0.946799 0.815827 0.713867
52 0.797465 0.748840 0.895277 0.949191 0.822301 0.724962
60 0.802517 0.755378 0.898716 0.950710 0.826713 0.733394
69 0.805714 0.760123 0.900942 0.951495 0.829468 0.739670
79 0.807602 0.763613 0.902260 0.951695 0.831145 0.744524
91 0.808635 0.766348 0.902836 0.951335 0.832170 0.748615
104 0.808854 0.768085 0.902591 0.950383 0.832506 0.751433
119 0.808171 0.768706 0.901493 0.948632 0.832115 0.752841
135 0.806436 0.767824 0.899680 0.946092 0.831028 0.752612
154 0.803092 0.764830 0.896979 0.942401 0.828986 0.750669
174 0.798345 0.759797 0.893800 0.937983 0.826058 0.747189
198 0.791632 0.752099 0.889876 0.932288 0.821601 0.741545
223 0.783902 0.742961 0.885657 0.926214 0.815971 0.734422
252 0.773944 0.731195 0.880381 0.919138 0.807952 0.724671
285 0.761822 0.717088 0.874071 0.911284 0.796979 0.712280
321 0.748423 0.701878 0.867189 0.903038 0.783180 0.697821
362 0.733390 0.685404 0.859595 0.894173 0.765931 0.680781
407 0.717670 0.668614 0.851821 0.885311 0.746140 0.661795
457 0.701801 0.651647 0.844471 0.876742 0.723983 0.640611
513 0.686473 0.634753 0.838593 0.869105 0.699708 0.617546
575 0.671499 0.618235 0.834255 0.863114 0.673022 0.592990
645 0.655831 0.601690 0.830334 0.859159 0.642772 0.566691
723 0.638878 0.584474 0.825633 0.857104 0.609499 0.538835
809 0.620699 0.565853 0.820033 0.856640 0.574178 0.509768
905 0.602174 0.546079 0.813916 0.857446 0.538535 0.480566
1011 0.585321 0.526672 0.808606 0.859217 0.506286 0.453927
1130 0.570937 0.508515 0.804917 0.861993 0.479234 0.431240
1261 0.558720 0.493110 0.803689 0.865433 0.459312 0.415140
1407 0.547303 0.480232 0.805444 0.868672 0.446574 0.405987
1570 0.535545 0.468031 0.809180 0.870124 0.440561 0.402309
1750 0.527094 0.459132 0.813100 0.869519 0.442740 0.404287
1950 0.528013 0.457998 0.816509 0.867088 0.456058 0.413080
